ano,id_microrregiao,sigla_uf,primeiro_ano_tratamento,tratado,pos_tratamento,area_plantada_arroz,area_plantada_cana,area_plantada_outras,area_plantada_soja,valor_producao_arroz,valor_producao_cana,valor_producao_outras,valor_producao_soja,valor_producao_nominal_arroz,valor_producao_nominal_cana,valor_producao_nominal_outras,valor_producao_nominal_soja,area_total_km2,populacao_total,pib_total,pib_per_capita,pib_agropecuario,precip_total_anual_mm,precip_media_mensal_mm,precip_max_mensal_mm
2019,43007,RS,2007,1,1,55.66347763116474,0.0,69.70846935473652,5589.518163061809,10448.35,1104.56,349664.23,1081025.98,18020.0,1905.0,603057.0,1864418.0,10757.507221410702,191083,7971503000,41717.49,2030505000,947.4773406982423,4.934777816136678,10.513047377268467
2020,43007,RS,2007,1,1,94.24549729339638,0.0,85.79735063671905,5649.606580209199,11397.55,856.64,339600.65,636944.65,23164.0,1741.0,690193.0,1294505.0,10757.507221410728,190107,7525061000,39583.29,1705666000,682.4639638264975,3.5544998115963407,7.895102103551228
2021,43007,RS,2007,1,1,83.47548113232473,0.0,75.03308303863524,5978.91977784428,13068.84,739.79,428156.72,1592954.7,35967.0,2036.0,1178338.0,4384000.0,10757.507221410693,189169,11011695000,58210.89,4207561000,628.7196079889934,3.274581291609342,6.925155719121298
2022,43007,RS,2007,1,1,0.0,0.0,0.0,0.0,5757.81,276.35,587493.91,276563.35,17564.0,843.0,1792130.0,843647.0,0.0,191140,,,,755.9786240259805,3.937388666801981,8.845975001653038
2023,43007,RS,2007,1,1,0.0,0.0,0.0,0.0,4750.73,354.24,377903.66,390986.14,13545.0,1010.0,1077457.0,1114757.0,0.0,,,,,1130.0407648086548,5.88562898337841,14.044731855392456
2003,43008,RS,2001,1,1,0.0,0.0,172.56014781646638,3706.061034790679,1630.59,3420.51,263129.13,749729.13,1095.0,2297.0,176701.0,503471.0,5099.730079540869,181424,2301636000,12686.5,588325000,934.0178648630776,5.188988138128211,12.52652910020616
2004,43008,RS,2001,1,1,0.0,0.0,117.4227344859007,3771.818209749619,1686.48,3107.39,172799.19,438059.74,1251.0,2305.0,128179.0,324944.0,5099.730079540886,182529,2155624000,11809.76,393073000,716.1476135253905,3.9785978529188366,6.7703501383463545
2005,43008,RS,2001,1,1,0.0,0.0,75.44658481549045,3824.9137225201735,591.26,2186.27,109829.23,79065.71,463.0,1712.0,86004.0,61914.0,5099.730079540813,183142,1776270000,9698.87,158146000,890.8642292022706,4.949245717790393,8.604600694444445
2006,43008,RS,2001,1,1,0.0,0.0,59.254012050476106,3866.721529055643,825.94,1810.22,120755.44,272057.92,652.0,1429.0,95325.0,214764.0,5099.730079540879,183746,1933235000,10521.24,276105000,837.6980463663737,4.653878035368743,7.652329338921439
2007,43008,RS,2001,1,1,0.0,0.0,47.35871413922114,3893.0364033122823,1360.36,3613.23,217191.07,438132.14,1134.0,3012.0,181051.0,365228.0,5099.730079540926,180625,2445343000,13538.23,455594000,993.5053984324139,5.519474435735632,8.191106584337023
2008,43008,RS,2001,1,1,0.0,0.0,58.99771667132542,3892.3221361970013,1302.95,3060.61,219363.72,451343.35,1235.0,2901.0,207924.0,427806.0,5099.730079540943,186632,2934393000,15722.88,539782000,825.126123428345,4.58403401904636,9.633282555474175
2009,43008,RS,2001,1,1,0.0,0.0,53.729213928039556,3907.1512239788035,1204.17,2700.13,194875.28,509844.83,1139.0,2554.0,184329.0,482253.0,5099.7300795409465,187169,3192353000,17055.99,553299000,979.3761094411213,5.440978385784008,10.836974249945756
2010,43008,RS,2001,1,1,0.0,0.0,55.552471198181046,3904.8912815744,389.0,2750.0,201205.0,481237.0,389.0,2750.0,201205.0,481237.0,5099.730079540963,183920,4005517000,21778.58,619909000,864.0996297200521,4.8005534984447324,7.899845971001517
2011,43008,RS,2001,1,1,0.0,0.0,70.08084943469231,3878.814979731529,197.36,2366.49,232557.1,600564.03,216.0,2590.0,254522.0,657287.0,5099.730079540925,184237,4876829000,26470.41,787626000,895.6756432851157,4.97597579602842,8.557318581475153
2012,43008,RS,2001,1,1,0.0,0.0,49.416940473571685,3905.087148440613,29.34,921.58,131963.52,228140.79,34.0,1068.0,152930.0,264388.0,5099.730079540961,184556,4833556000,26190.19,437267000,692.6546891530356,3.8480816064057524,10.134321848551432
2013,43008,RS,2001,1,1,0.0,0.0,99.4234295548704,3863.3850340143276,14.66,1187.72,301138.84,638157.7,18.0,1458.0,369667.0,783379.0,5099.730079540945,191123,6239942000,32648.83,1194851000,874.9430656433107,4.860794809129502,7.489835951063369
2014,43008,RS,2001,1,1,0.0,0.0,65.98589632873521,3904.886030309087,59.97,1052.21,147071.29,680350.47,77.0,1351.0,188835.0,873549.0,5099.730079540965,191605,6552702000,34199.01,1002988000,1201.3406435648599,6.674114686471444,13.71301651000976
2015,43008,RS,2001,1,1,0.0,0.0,62.98892627496342,3922.655674780538,38.94,903.63,154978.39,771608.04,53.0,1230.0,210953.0,1050295.0,5099.730079540979,192056,6892196000,35886.39,1190236000,1165.4193878173826,6.474552154541016,15.095939636230474
2016,43008,RS,2001,1,1,0.0,0.0,38.83136897619622,3955.9096616120214,0.0,911.01,230472.19,870077.39,0.0,1382.0,349627.0,1319910.0,5099.730079540982,192484,7500681000,38967.82,1528932000,917.3392295837402,5.096329053243,10.883854760064022
2017,43008,RS,2001,1,1,0.0,0.0,41.578970809814365,3955.2794157283415,0.0,905.19,152532.71,781695.71,0.0,1363.0,229679.0,1177053.0,5099.730079540968,192888,7774623000,40306.41,1255756000,1130.5996735890708,6.281109297717058,14.539894527859154
2018,43008,RS,2001,1,1,0.0,0.0,47.71783218664536,3961.280259232072,0.0,796.18,180172.13,889198.04,0.0,1282.0,290111.0,1431776.0,5099.7300795409765,191292,8618116000,45052.15,1561634000,708.6803118387858,3.93711284354881,7.289013332790799
2019,43008,RS,2001,1,1,0.0,0.0,43.9964076688841,3991.781884261765,0.0,557.21,231008.22,703606.95,0.0,961.0,398414.0,1213493.0,5099.730079540946,191721,9261412000,48306.72,1439989000,897.8976249694824,4.988320138719347,10.06391737196181
